MW,MMBTUD,MMSCFD
FSNL ( Full Speed No Load),10384.8,9.592
5,11908.78,10.999
10,13432.76,12.407
15,13944.33,12.879
20,14455.89,13.352
25,15476.68,14.295
30,16497.16,15.237
35,17515.29,16.177
40,18533.42,17.118
45,19550.99,18.058
50,20568.56,18.997
55,21586.94,19.938
60,22605.31,20.879
65,23623.69,21.819
70,24642.07,22.760
75,25660.44,23.700
80,26678.82,24.641
85,27697.2,25.582
90,28715.57,26.522
95,29733.95,27.463
100,30752.32,28.403
105,31770.7,29.344
110,32789.08,30.285
115,33807.45,31.225
120,34825.83,32.166
125,35844.2,33.106
130,36862.58,34.047
135,37880.96,34.987
140,38899.33,35.928
145,39917.71,36.869
150,40936.08,37.809
155,41954.46,38.750
160,42972.48,39.690
165,43583.86,40.255
170,45009.59,41.572
